3, Canarsie, 2, 471
5, Shore Acres, 0, 24
1, Randall's Island, 92, 302
2, Norwood, 3, 838
5, Lighthouse Hill, 0, 3
3, Green-Wood Cemetery, 1, 33
1, Theater District, 121905, 181867
1, Midtown, 1055572, 1129284
5, Charleston, 1, 2
1, Roosevelt Island, 215, 2366
3, Bensonhurst, 7, 917
5, Bay Terrace Staten Island, 0, 4
5, Willowbrook, 0, 2
4, LaGuardia Airport, 142914, 97189
1, Civic Center, 9206, 7353
1, Murray Hill, 156565, 141694
3, Gowanus, 256, 2846
5, Concord, 1, 70
2, Tremont, 2, 407
3, Midwood, 15, 1402
2, Riverdale, 7, 957
2, Van Nest, 2, 166
4, Kew Gardens Hills, 20, 571
2, Crotona Park, 0, 47
4, Fresh Meadows, 0, 404
5, New Springville, 0, 33
5, St. George, 2, 30
3, DUMBO, 1146, 1894
2, Throgs Neck, 1, 349
3, Jamaica Bay, 0, 0
4, Jamaica Hills, 8, 211
4, Broad Channel, 0, 15
1, Flatiron District, 86688, 75834
3, Bath Beach, 3, 397
2, Parkchester, 9, 1389
3, Sheepshead Bay, 16, 1296
2, Olinville, 0, 156
3, Navy Yard, 21, 139
2, Pelham Islands, 0, 0
3, Crown Heights, 213, 6478
4, Floral Park, 4, 35
3, Park Slope, 1086, 6811
2, Mount Hope, 2, 554
1, Liberty Island, 0, 0
4, Bellerose, 13, 125
1, SoHo, 100523, 90072
4, Belle Harbor, 1, 16
3, Bedford-Stuyvesant, 453, 9896
5, Latourette Park, 0, 3
4, Far Rockaway, 1, 48
5, South Beach, 0, 32
2, Concourse Village, 23, 1338
2, Morris Park, 1, 321
4, Jamaica Estates, 8, 524
4, Flushing Meadows Corona Park, 528, 622
1, Little Italy, 12244, 8256
3, Fort Hamilton, 6, 1254
3, Sunset Park, 118, 3297
2, Soundview, 0, 775
4, Woodside, 1294, 4767
4, Maspeth, 303, 2977
3, Prospect Heights, 958, 2308
4, Hollis, 0, 140
4, Queens Village, 10, 309
2, Longwood, 23, 1559
1, Kips Bay, 89555, 80095
4, John F. Kennedy International Airport, 79617, 46371
3, Dyker Heights, 7, 614
2, East Morrisania, 5, 413
3, East Flatbush, 23, 2072
4, Woodhaven, 12, 600
2, Van Cortlandt Park, 1, 126
2, Rikers Island, 1, 3
2, Fordham, 10, 1938
4, Rosedale, 5, 101
2, Eastchester, 0, 82
5, Clifton, 0, 10
5, Graniteville, 0, 20
5, Grant City, 0, 7
2, Co-op City, 2, 301
5, Howland Hook, 0, 0
1, Ellis Island, 0, 0
2, Hart Island, 0, 0
3, Marine Park, 3, 162
4, Kew Gardens, 65, 666
